source,target,weight
auth,dashboard,45.5
auth,settings,23.1
auth,api-gateway,67.2
dashboard,metrics,67.8
dashboard,logs,34.2
dashboard,alerts,28.5
settings,profile,89.3
settings,security,45.7
settings,notifications,32.1
metrics,logs,54.3
metrics,traces,41.2
api-gateway,metrics,38.9
api-gateway,logs,29.4
logs,traces,72.1
traces,profiling,25.8
alerts,metrics,61.3
alerts,logs,44.7
security,profile,35.2
notifications,settings,18.4
profiling,traces,52.6
profile,settings,12.3
api-gateway,dashboard,15.7
traces,metrics,33.8
logs,alerts,27.9
security,auth,19.2
